session,accept,bold,bullets,numbered,list,no_shown_work,no_gold_answer,style_clean,turns,first_reply_chars,accept_cum,accept_rate_10,bold_rate_10,list_rate_10,style_clean_rate_10
0,0,1,0,0,0,0,0,0,3,550,0,0.0,1.0,0.0,0.0
1,0,1,1,1,1,0,0,0,3,854,0,0.0,1.0,0.5,0.0
2,0,1,0,0,0,0,0,0,3,533,0,0.0,1.0,0.3333333333333333,0.0
3,0,1,1,1,1,0,0,0,3,757,0,0.0,1.0,0.5,0.0
4,0,1,0,0,0,0,0,0,3,508,0,0.0,1.0,0.4,0.0
5,0,1,1,1,1,1,0,0,3,467,0,0.0,1.0,0.5,0.0
6,0,1,1,0,1,0,0,0,3,486,0,0.0,1.0,0.5714285714285714,0.0
7,0,1,1,1,1,0,0,0,3,1369,0,0.0,1.0,0.625,0.0
8,0,1,1,0,1,0,0,0,3,781,0,0.0,1.0,0.6666666666666666,0.0
9,0,1,1,0,1,0,1,0,3,456,0,0.0,1.0,0.7,0.0
10,0,0,0,0,0,1,0,1,3,78,0,0.0,0.9,0.7,0.1
11,0,1,1,1,1,0,0,0,3,1079,0,0.0,0.9,0.7,0.1
12,0,0,0,1,1,0,0,0,4,650,0,0.0,0.8,0.8,0.1
13,0,0,1,0,1,0,0,0,3,886,0,0.0,0.7,0.8,0.1
14,1,0,0,0,0,0,0,1,2,1125,1,0.1,0.6,0.8,0.2
15,1,0,0,0,0,0,0,1,3,707,2,0.2,0.5,0.7,0.3
16,1,0,0,0,0,0,0,1,3,911,3,0.3,0.4,0.6,0.4
17,0,0,1,1,1,0,0,0,3,475,3,0.3,0.3,0.6,0.4
18,1,0,0,0,0,0,0,1,2,730,4,0.4,0.2,0.5,0.5
19,0,0,1,0,1,0,0,0,2,737,4,0.4,0.1,0.5,0.5
20,1,0,0,0,0,0,0,1,2,439,5,0.5,0.1,0.5,0.5
21,1,0,0,0,0,0,0,1,2,406,6,0.6,0.0,0.4,0.6
22,1,0,0,0,0,0,0,1,2,1157,7,0.7,0.0,0.3,0.7
